,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
89,1000,1000,1,0.9,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.002594921604951,2.1487566823057964e-07,2024-02-14 17:56:19,297.881555557251,407.83693385124207
106,100,100,4,1.0,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9713014214747115,5.036073504622141e-06,2024-02-14 17:43:17,27.377354621887207,45.870545625686646
23,100,100,5,1.0,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.3835925558585576,6.645019840870379e-07,2024-02-14 17:45:35,41.352262020111084,90.09615850448608
19,1000,1000,1,1.0,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9994359501507672,1.7218446319560536e-07,2024-02-14 17:48:38,97.87357091903687,157.42914628982544
24,1000,1000,1,1.0,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0000931236795196,1.7400786838289773e-07,2024-02-14 17:54:25,261.62758779525757,331.53148460388184
72,100,100,2,1.0,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0469942279987097,6.565609822712969e-07,2024-02-14 17:40:49,8.00781774520874,16.86105465888977
4,100,100,5,1.0,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.085422287773051,1.027452375142803e-06,2024-02-14 17:50:14,32.27198052406311,117.28303742408752
47,100,100,1,1.0,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.7378337704068958,1.078710195721693e-06,2024-02-14 17:40:46,25.50986409187317,37.831817865371704
70,1000,1000,5,1.0,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.006577835908833,2.4298063926010085e-07,2024-02-14 18:16:01,420.86638355255127,725.8125593662262
52,1000,1000,4,1.0,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9993009522044723,1.5182707426390466e-07,2024-02-14 18:06:26,325.7568247318268,482.23352313041687
